household_key,TotalBaskets,TotalSpent,FirstWeek,LastWeek,ActiveWeeks,LoyaltyScore
1,86,4330.16,8,102,68,372393.76
2,45,1954.34,15,96,35,87945.3
3,47,2653.21,17,101,37,124700.87
4,30,1200.1100000000001,16,90,26,36003.3
5,40,779.0600000000001,13,101,27,31162.4
6,250,5996.16,18,102,84,1499040.0
7,59,3400.05,4,102,50,200602.95
8,113,5534.97,10,102,72,625451.61
9,20,797.42,16,99,19,15948.4
10,9,234.34,17,99,5,2109.06
11,5,33.39,16,60,5,166.95
12,7,266.21,11,73,7,1863.4699999999998
13,275,13190.92,15,102,87,3627503.0
14,140,2761.19,1,101,66,386566.60000000003
15,55,972.53,4,101,30,53489.15
16,98,1512.02,15,99,58,148177.96
17,124,5139.63,4,99,65,637314.12
18,163,7118.91,14,102,81,1160382.33
19,421,11299.61,11,102,92,4757135.8100000005
20,387,7486.11,12,102,77,2897124.57
21,27,870.11,11,98,19,23492.97
22,136,6256.04,4,102,86,850821.44
23,110,3158.58,16,102,63,347443.8
24,74,1911.1100000000001,9,102,36,141422.14
25,94,3149.65,2,101,64,296067.10000000003
26,113,1937.39,8,101,50,218925.07
27,405,5736.24,6,102,90,2323177.1999999997
28,125,2119.62,17,101,67,264952.5
29,69,1343.03,6,102,44,92669.06999999999
30,28,622.8000000000001,12,102,21,17438.4
31,69,4396.9,15,102,43,303386.1
32,116,3381.82,8,102,65,392291.12
33,52,1200.74,16,102,34,62438.48
34,36,407.38,1,102,27,14665.68
35,60,1119.51,4,102,34,67170.6
36,221,4898.25,13,102,77,1082513.25
37,63,2976.66,13,102,46,187529.58
38,27,706.13,15,79,22,19065.51
39,64,5033.66,4,99,50,322154.24
40,400,12907.89,11,102,90,5163156.0
41,73,3107.13,11,102,58,226820.49000000002
42,89,1985.86,15,102,77,176741.53999999998
43,106,884.84,17,102,57,93793.04000000001
44,32,877.76,12,90,26,28088.32
45,57,807.09,15,85,37,46004.130000000005
46,137,8433.43,3,102,70,1155379.9100000001
47,111,2329.13,16,102,61,258533.43000000002
48,50,1172.83,17,102,33,58641.5
49,121,6445.03,9,101,65,779848.63
50,15,351.39,17,97,13,5270.849999999999
51,83,3046.86,3,102,58,252889.38
52,139,5487.28,3,102,78,762731.9199999999
53,56,1962.26,11,102,44,109886.56
54,11,103.09,6,71,11,1133.99
55,141,1072.79,10,101,74,151263.38999999998
56,201,6691.53,14,102,80,1344997.53
57,194,3105.87,8,102,76,602538.78
58,268,10367.08,12,102,90,2778377.44
59,44,1688.33,10,98,29,74286.51999999999
60,8,400.94,14,100,7,3207.52
61,11,183.8,12,100,11,2021.8000000000002
62,33,359.29,10,96,23,11856.570000000002
63,33,589.6,13,102,30,19456.8
64,264,3917.81,2,102,75,1034301.84
65,122,2042.17,6,97,64,249144.74000000002
66,29,395.95,18,99,18,11482.55
67,227,9618.9,15,102,82,2183490.3
68,553,4960.77,1,102,98,2743305.81
69,183,5704.34,13,102,69,1043894.22
70,32,76.4,2,101,21,2444.8
71,90,3376.03,10,102,63,303842.7
72,107,6473.43,11,100,71,692657.01
73,164,2864.18,9,95,56,469725.51999999996
74,131,2047.64,5,94,68,268240.84
75,64,1167.09,13,102,48,74693.76
76,16,315.94,7,102,14,5055.04
77,87,6227.1,1,102,66,541757.7000000001
78,210,2505.14,13,102,81,526079.4
79,154,3950.12,15,102,74,608318.48
80,94,3002.09,8,100,57,282196.46
